cluster index	parent mass	RTMean	ATTRIBUTE_Group:GNPSGROUP:nan	ATTRIBUTE_Group:GNPSGROUP:BB	ATTRIBUTE_Group:GNPSGROUP:IAA	ATTRIBUTE_Group:GNPSGROUP:Pt	ATTRIBUTE_Group:GNPSGROUP:QC	ATTRIBUTE_Group:GNPSGROUP:wt	ATTRIBUTE_Group_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	ATTRIBUTE_time_point:GNPSGROUP:nan	ATTRIBUTE_time_point:GNPSGROUP:0m	ATTRIBUTE_time_point:GNPSGROUP:20m	ATTRIBUTE_plant_extract:GNPSGROUP:nan	ATTRIBUTE_plant_extract:GNPSGROUP:A	ATTRIBUTE_plant_extract:GNPSGROUP:B	ATTRIBUTE_gene_time:GNPSGROUP:nan	ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	ATTRIBUTE_gene_time:GNPSGROUP:wt_20m
620	432.238317067621	6.476425	0	24492604.0	57103720.0	5503755.75	672378.4833333333	6461702.5	0	5203547.5	5803964.0	6781542.0	6141863.0	0	5174926.75	5232168.25	6241232.75	5366695.25	7811359.75	5751724.25	6048112.25	6235613.75	0	6152205.9375	5813252.3125	0	6318907.875	5646550.375	0	5516284.25	5491227.25	6788127.625	6135277.375
621	281.138360826048	6.4750633	0	1576351.4	3463644.2	370499.0275	0.0	435567.7925	0	365948.22	375049.835	449185.43	421950.15499999997	0	327855.91000000003	404040.53	388010.155	362089.515	502757.885	395612.975	436154.47	407745.83999999997	0	412980.79	393086.03	0	413694.605	392372.215	0	374883.185	366114.87	451078.395	420057.19
622	458.254082849494	6.476887	0	1320105.5	2800316.0	194850.8825	0.0	224658.1275	0	138757.9225	250943.8425	207888.94	241427.315	0	277515.845	0.0	346888.875	154998.81	244954.69	170823.19	318654.80000000005	164199.83	0	254821.03375	164687.97625	0	297003.5525	122505.45749999999	0	222790.45249999998	166911.3125	286851.615	162464.64
623	476.2642097824729	6.4772034	0	795901.94	1240256.6	33626.8475	0.0	114353.345	0	0.0	67253.695	88348.64	140358.05	0	0.0	0.0	134507.39	0.0	176697.28	0.0	135088.5	145627.6	0	77946.445	70033.7475	0	111573.29250000001	36406.9	0	0.0	67253.695	155892.89	72813.8
624	437.1934778880256	6.476855	0	25243746.0	35845220.0	7375803.875	895495.7566666667	8584006.75	0	7004502.5	7747105.25	9099458.25	8068555.25	0	6681761.0	7327244.0	8587368.0	6906842.5	10403372.5	7795544.0	8044554.75	8092555.75	0	8208301.4375	7751509.1875	0	8429264.0625	7530546.5625	0	7461581.625	7290026.125	8955021.25	8212992.25
625	851.3981392395071	6.4768205	0	2343934.5	8046219.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
626	867.3719911045328	6.4768205	0	1291196.9	3206043.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
627	453.1676566113069	6.47685	0	12183637.0	13866781.0	4083602.1375	483671.83499999996	4723731.25	0	3872996.825	4294207.45	5006133.45	4441329.05	0	3695201.9	4050791.75	4716890.25	3871524.65	5696780.5	4315486.4	4405209.5	4477448.6	0	4490901.3125	4316432.075	0	4628520.5375	4178812.85	0	4107314.2	4059890.075	4874488.425	4572974.075
628	460.2693943669725	6.4772334	0	59623696.0	92157990.0	19382987.75	2609995.433333333	21752158.5	0	18394496.0	20371479.5	22903276.0	20601041.0	0	18012926.0	18776066.0	22338339.0	18404620.0	25881507.0	19925045.0	20633170.0	20568912.0	0	20987434.5	20147711.75	0	21716485.5	19418660.75	0	19648436.5	19117539.0	22326432.5	21177884.5
629	295.1176731236587	6.4768205	0	408360.4	988519.3	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0
