formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C8H23N5O8	[M - H2O + H]+	C8H22N5O7+	0.934	0.283	21.335	21.335	0.000	5	0.136	0.687	0.687	-60002.817		300.152	74	1.240	839146541610022033	839146030123024700	839146030123024699	198	
1	C17H26O6	[M + H3N + H]+	C17H30NO6+	1.000	0.102	55.318	55.318	0.000	11	0.285	0.421	0.427	-0.186		344.207	74	1.241	839146190186057976	839146030089470264	839146030089470263	197	
1	C16H24O6	[M + H3N + H]+	C16H28NO6+	1.000	0.333	68.120	68.120	0.000	13	0.350	0.364	0.401	-0.724		330.191	75	1.242	839146610040092860	839146029749731604	839146029749731603	188	
1	C15H22O6	[M + H3N + H]+	C15H26NO6+	1.000	0.333	111.150	107.658	3.493	12	0.575	3.222	3.222	0.588		316.176	75	1.244	839146359526894600	839146030198522180	839146030198522179	200	
1	C12H22N2O4	[M - H2O + H]+	C12H21N2O3+	0.899	0.333	33.942	33.942	0.000	9	0.412	-0.366	0.588	-74685.322		241.155	75	1.246	839146604281313359	839146030160773440	839146030160773439	199	
1	C9H12O2	[M - H2O + H]+	C9H11O+	0.986	0.500	80.923	77.728	3.195	10	0.963	3.619	3.619	-133331.567		135.081	75	1.247	839146303767815564	839146029980418348	839146029980418347	194	
1	C6H12O5	[M + H]+	C6H13O5+	0.675	0.500	131.235	128.300	2.935	22	0.919	7.065	7.065	0.424		165.076	75	1.247	839146306892572181	839146030051721524	839146030051721523	196	
1	C15H22O6	[M + H]+	C15H23O6+	0.879	0.500	136.993	131.491	5.502	27	0.903	4.419	4.419	-0.016		299.149	75	1.247	839146566826178067	839146030236270920	839146030236270919	201	
1	C18H18O5	[M + Na]+	C18H18NaO5+	0.240	0.663	7.818	4.493	3.326	0	0.000	0.091	0.091	-0.013		337.105	75	1.251	839146741640576121	839146030282408268	839146030278213963	202	
1	C13H29NO5	[M - H2O + H]+	C13H28NO4+	0.440	0.333	71.313	71.313	0.000	13	0.636	0.214	0.272	-68689.616		262.201	79	1.320	839146215456740206	839146030315962704	839146030315962703	203	
1	C10H18N2O4S	[M - H2O + H]+	C10H17N2O3S+	0.684	0.324	14.854	14.854	0.000	4	0.273	-0.420	0.420	-73484.342		245.095	84	1.397	839146229146948986	839146030353711444	839146030353711443	204	
1	C25H32O6	[M + H3N + H]+	C25H36NO6+	0.413	0.333	56.491	52.551	3.940	16	0.787	1.203	1.498	-0.099		446.254	85	1.410	839146714151107623	839146030395654488	839146030391460183	205	
1	C20H39NO	[M + H3N + H]+	C20H43N2O+	0.972	0.333	52.687	52.687	0.000	10	0.371	-0.085	0.249	-0.765		327.337	85	1.421	839146617824721168	839146030433403228	839146030429208923	206	
1	C17H20F2N4O2	[M - H2O + H]+	C17H19F2N4O+	0.368	0.103	4.609	4.609	0.000	4	0.212	0.236	0.450	-54061.995		333.152	88	1.466	839146230841447955	839146030466957664	839146030466957663	207	
1	C18H35NO	[M + H3N + H]+	C18H39N2O+	1.000	0.333	62.532	62.532	0.000	12	0.223	0.060	0.384	-0.469		299.306	92	1.527	839146150667324279	839146030504706404	839146030504706403	208	
