cluster index	parent mass	RTMean	ATTRIBUTE_Group:GNPSGROUP:nan	ATTRIBUTE_Group:GNPSGROUP:BB	ATTRIBUTE_Group:GNPSGROUP:IAA	ATTRIBUTE_Group:GNPSGROUP:Pt	ATTRIBUTE_Group:GNPSGROUP:QC	ATTRIBUTE_Group:GNPSGROUP:wt	ATTRIBUTE_Group_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:Pt_2	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_1	ATTRIBUTE_Group_detailed:GNPSGROUP:wt_2	ATTRIBUTE_Group_super_detailed:GNPSGROUP:nan	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:Pt_2B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_1B	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2A	ATTRIBUTE_Group_super_detailed:GNPSGROUP:wt_2B	ATTRIBUTE_time_point:GNPSGROUP:nan	ATTRIBUTE_time_point:GNPSGROUP:0m	ATTRIBUTE_time_point:GNPSGROUP:20m	ATTRIBUTE_plant_extract:GNPSGROUP:nan	ATTRIBUTE_plant_extract:GNPSGROUP:A	ATTRIBUTE_plant_extract:GNPSGROUP:B	ATTRIBUTE_gene_time:GNPSGROUP:nan	ATTRIBUTE_gene_time:GNPSGROUP:Pt_0m	ATTRIBUTE_gene_time:GNPSGROUP:Pt_20m	ATTRIBUTE_gene_time:GNPSGROUP:wt_0m	ATTRIBUTE_gene_time:GNPSGROUP:wt_20m
1209	575.105694066391	9.695587	0	304933.44	322045.5	308240.68375	331677.82666666666	300883.13714285713	0	303901.065	312580.3025	306733.99	293082.0	0	284633.54000000004	323168.58999999997	319694.53	305466.075	278106.19999999995	335361.78	288681.0	295282.5	0	312622.6757142857	297968.5875	0	293364.22000000003	314819.73625	0	312767.3925	303713.975	312429.72	292223.2
1210	296.2947479331005	9.729356	0	3537106.0	7823963.0	4164936.6	223575.61833333332	5000848.671428571	0	3837535.45	4492337.75	5344721.925	4542351.0	0	3782902.4	3892168.5	4325217.5	4659458.0	5634992.5	5054451.35	4563036.0	4532008.5	0	4693371.571428572	4433979.0625	0	4578465.828571429	4534521.5875	0	4029214.125	4300659.075	5578914.833333333	4567299.05
1211	279.26838560896454	9.732559	0	0.0	121853.75	0.0	0.0	31822.75571428571	0	0.0	0.0	55689.822499999995	0.0	0	0.0	0.0	0.0	0.0	58094.43	53285.215	0.0	0.0	0	31822.75571428571	0.0	0	16598.408571428572	13321.30375	0	0.0	0.0	74253.09666666666	0.0
1212	431.3844222011296	9.745271	0	0.0	138132.02	94092.2895	103298.36166666665	172721.42214285716	0	30454.9625	157729.6165	126813.49375	233931.99333333332	0	0.0	60909.925	107879.61	207579.623	158100.83250000002	95526.155	260715.73	220540.125	0	79514.10800000001	175648.689375	0	113239.51642857143	146138.957	0	32728.6465	155455.9325	141894.72333333336	195841.44625
1213	296.2947429805637	9.798937	0	829870.7	1591230.8	825886.9375	185874.155	1011003.4785714287	0	789812.9	861960.975	1042129.2375	969502.4666666667	0	788542.27	791083.53	813892.7	910029.25	1024360.8	1059897.675	1022943.4	942782.0	0	945971.8142857143	882789.64375	0	896647.8485714287	925948.11375	0	811601.35	840172.525	1125132.4333333333	925406.7625
1214	165.07580251591	9.798719	0	153793.5	217233.02	194513.8225	205855.71	79425.85857142857	0	232953.8825	156073.7625	53702.8075	113723.26000000001	0	247175.94	218731.825	219400.14	92747.385	0.0	107405.615	175811.17	82679.305	0	119012.94857142857	159875.11875	0	158423.33285714287	125391.0325	0	166933.0075	222094.63749999998	55119.53666666666	97655.6
1215	384.3472315138211	9.852137	0	363028.06	419389.03	410155.64	409818.3933333333	389161.43	0	415699.975	404611.305	391157.51749999996	386499.98	0	397676.86	433723.08999999997	404914.175	404308.43500000006	397405.655	384909.38	389328.22	385085.86	0	398010.73142857145	402412.50125	0	398474.5142857143	402006.69125	0	404834.39	415476.89	388912.52	389348.1125
1216	338.3415909899549	9.852373	0	415763.2	451497.9	481223.4375	480261.24499999994	455162.5571428571	0	481467.74750000006	480979.12749999994	465772.48	441015.99333333335	0	457304.09	505631.405	498236.06999999995	463722.185	482715.07	448829.89	435365.72	443841.13	0	461591.30571428576	475598.28250000003	0	473125.16857142857	465506.1525	0	469296.64	493150.235	451317.5266666667	458046.33
1217	429.4051115029957	9.859402	0	452740.3	460375.47	510075.02375	494924.00166666665	479468.69428571424	0	518912.765	501237.2825	492378.365	462255.8	0	499807.11	538018.4199999999	510165.01999999996	492309.54500000004	511306.45999999996	473450.27	448530.4	469118.5	0	488139.8542857143	502487.75875	0	498726.79714285716	493224.18374999997	0	495996.76	524153.2875	477663.98	480822.23
1218	406.32918750904	9.861144	0	560801.2	660392.3	680298.45625	680438.1733333333	630910.8085714286	0	684652.3125	675944.6	641671.25	616563.5533333333	0	657798.125	711506.5	690776.0	661113.2	644681.7	638660.8	603402.56	623144.05	0	665846.7428571429	649729.51375	0	655702.03	658606.1375	0	682005.6	678591.3125	644301.6	620867.715
